Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	
CDS	Complement	350279	350479	SPNHU17_RS01850	Yes	350375									
CDS	Not Complement	350245	350445	rsmH											
CDS	Not Complement	351207	351407	ftsL	Yes	351382	351403								
CDS	Not Complement	351528	351728	pbp2X	Yes	351599	351604	351664	351668	351704					
CDS	Not Complement	353782	353982	mraY											
CDS	Not Complement	355102	355302	SPNHU17_RS01875	Yes	355117	355145	355181	355187	355196					
CDS	Complement	358185	358385	SPNHU17_RS01880	Yes	358249	358276								
CDS	Complement	359764	359964	SPNHU17_RS01885	Yes	359812	359832	359900	359926						
CDS	Not Complement	359717	359917	SPNHU17_RS01890											
CDS	Not Complement	361484	361684	SPNHU17_RS01895	Yes	361540	361555	361594	361640	361679					
CDS	Complement	362022	362222	SPNHU17_RS01900											
CDS	Not Complement	362650	362850	cps4A	Yes	362659	362699								
CDS	Not Complement	364097	364297	cps4B	Yes	364131	364233								
CDS	Not Complement	364837	365037	SPNHU17_RS01915	Yes	364839	365003	365034							
CDS	Not Complement	365539	365739	SPNHU17_RS01920	Yes	365726									
CDS	Not Complement	366243	366443	SPNHU17_RS01925	Yes	366279	366308	366380	366416	366422					
CDS	Not Complement	367610	367810	SPNHU17_RS01930	Yes	367679	367744	367754	367801						
CDS	Not Complement	368350	368550	SPNHU17_RS01935	Yes	368519	368535								
CDS	Not Complement	369176	369376	SPNHU17_RS01940	Yes	369299	369315	369348	369353						
CDS	Not Complement	370055	370255	SPNHU17_RS01945	Yes	370174	370236	370240							
CDS	Not Complement	371417	371617	SPNHU17_RS01950	Yes	371543	371584	371591							
CDS	Not Complement	372906	373106	wecB	Yes	372981									
CDS	Not Complement	374157	374357	rfbA	Yes	374304	374331	374344							
CDS	Not Complement	375027	375227	SPNHU17_RS01965	Yes	375041	375071	375116	375181						
CDS	Not Complement	375632	375832	rfbB	Yes	375734	375808	375827							
CDS	Not Complement	376747	376947	rfbD	Yes	376821	376828	376892	376937						
CDS	Not Complement	377695	377895	SPNHU17_RS01980											
CDS	Not Complement	378303	378503	SPNHU17_RS10850											
CDS	Complement	380212	380412	SPNHU17_RS01995	Yes	380393									
CDS	Not Complement	380374	380574	SPNHU17_RS02000	Yes	380420	380488	380511	380534	380555	380570				
CDS	Not Complement	382657	382857	SPNHU17_RS02005	Yes	382685	382816	382842							
CDS	Complement	390486	390686	pbp1a	Yes	390676									
CDS	Complement	391079	391279	recU	Yes	391135									
CDS	Not Complement	390945	391145	SPNHU17_RS02020											
CDS	Not Complement	391542	391742	gpsB	Yes	391556	391562	391567	391594	391655	391667				
ncRNA	Not Complement	391904	392104	RNase_P_RNA	Yes	392020	392039								
CDS	Not Complement	392369	392569	SPNHU17_RS02035	Yes	392377	392485	392511	392549						
CDS	Not Complement	393539	393739	mapZ	Yes	393573	393616	393672	393729						
CDS	Not Complement	395009	395209	gndA	Yes	395099	395193								
CDS	Not Complement	396445	396645	SPNHU17_RS02050	Yes	396628									
CDS	Not Complement	397233	397433	cbpC	Yes	397337									
CDS	Complement	399802	400002	SPNHU17_RS02060	Yes	399920									
CDS	Complement	400720	400920	SPNHU17_RS10855	Yes	400735	400781								
CDS	Not Complement	401132	401332	SPNHU17_RS10860	Yes	401275									
CDS	Not Complement	401339	401539	SPNHU17_RS10865	Yes	401427									
CDS	Not Complement	401583	401783	mvk	Yes	401666	401686	401706	401728	401748	401780				
CDS	Not Complement	402443	402643	mvaD	Yes	402467	402506	402614	402628						
CDS	Not Complement	403383	403583	SPNHU17_RS02085	Yes	403443	403506	403528							
CDS	Not Complement	404374	404574	fni	Yes	404416	404513	404564							
CDS	Not Complement	405461	405661	liaF	Yes	405464	405547	405575							
CDS	Not Complement	406156	406356	SPNHU17_RS02100	Yes	406276									
CDS	Not Complement	407165	407365	SPNHU17_RS02105	Yes	407245									
CDS	Not Complement	407873	408073	SPNHU17_RS10870											
CDS	Not Complement	408717	408917	SPNHU17_RS02125	Yes	408723	408778	408798	408875						
CDS	Not Complement	409037	409237	cbpG	Yes	409055									
CDS	Not Complement	409881	410081	cbpF	Yes	409965									
CDS	Not Complement	411239	411439	SPNHU17_RS02140	Yes	411424									
CDS	Not Complement	413032	413232	SPNHU17_RS02145											
CDS	Not Complement	414989	415189	SPNHU17_RS02150	Yes	415086	415120	415164	415175						
CDS	Not Complement	415488	415688	SPNHU17_RS02155	Yes	415519	415530	415675	415683						
CDS	Not Complement	417385	417585	tig	Yes	417392	417416	417485	417537	417577					
CDS	Complement	421282	421482	SPNHU17_RS02165	Yes	421342									
CDS	Complement	422130	422330	lepB	Yes	422315									
CDS	Complement	423014	423214	rnhC	Yes	423139	423188	423209							
CDS	Not Complement	422901	423101	SPNHU17_RS02180											
CDS	Not Complement	423200	423400	SPNHU17_RS02185	Yes	423254									
CDS	Not Complement	423852	424052	SPNHU17_RS02190	Yes	423859	424046								
regulatory	Not Complement	426352	426552	riboswitch											
CDS	Not Complement	426531	426731	SPNHU17_RS02195	Yes	426715									
CDS	Not Complement	428071	428271	SPNHU17_RS02200	Yes	428167	428259								
CDS	Not Complement	428729	428929	SPNHU17_RS02205	Yes	428848	428904								
CDS	Complement	431127	431327	serS	Yes	431145	431294								
CDS	Complement	431712	431912	SPNHU17_RS02215	Yes	431806									
CDS	Complement	433079	433279	SPNHU17_RS02220	Yes	433121	433125	433145	433252	433272					
CDS	Not Complement	433204	433404	SPNHU17_RS02225											
CDS	Not Complement	434083	434283	SPNHU17_RS02230	Yes	434108	434185	434281							
CDS	Not Complement	434517	434717	SPNHU17_RS02235	Yes	434628	434658	434714							
CDS	Not Complement	435551	435751	SPNHU17_RS02240											
CDS	Not Complement	435894	436094	fabK	Yes	435919	435930	436006							
CDS	Not Complement	436861	437061	fabD	Yes	436862	436973	436985	437020						
CDS	Not Complement	437815	438015	fabG	Yes	437829	437888	437976	438006	438011					
CDS	Not Complement	438568	438768	fabF	Yes	438641	438751	438764							
CDS	Not Complement	439806	440006	accB	Yes	439919	439923								
CDS	Not Complement	440288	440488	fabZ	Yes	440386	440399	440432	440453						
CDS	Not Complement	440722	440922	accC	Yes	440726									
CDS	Not Complement	442126	442326	accD	Yes	442133	442161	442257	442281	442315					
CDS	Not Complement	442989	443189	SPNHU17_RS02285	Yes	443046	443061								
CDS	Not Complement	444019	444219	briC											
CDS	Not Complement	444222	444422	SPNHU17_RS02295											
CDS	Not Complement	444750	444950	SPNHU17_RS02300											
CDS	Complement	445615	445815	nusB											
CDS	Complement	445997	446197	SPNHU17_RS02310	Yes	446032									
CDS	Complement	446579	446779	efp	Yes	446638	446677								
CDS	Complement	448150	448350	gatB	Yes	448307									
CDS	Complement	449616	449816	gatA											
CDS	Complement	449918	450118	gatC	Yes	449937	450001	450006	450012	450018	450053	450097	450104		
CDS	Not Complement	449931	450131	SPNHU17_RS02335	Yes	450122									
CDS	Not Complement	451742	451942	SPNHU17_RS02340	Yes	451788	451889	451907	451930						
CDS	Not Complement	452050	452250	SPNHU17_RS02345	Yes	452098	452160								
CDS	Not Complement	452342	452542	rpmB	Yes	452403	452471	452536							
CDS	Not Complement	452687	452887	SPNHU17_RS02355	Yes	452706	452794	452847							
CDS	Not Complement	453055	453255	SPNHU17_RS02360	Yes	453184									
CDS	Not Complement	454923	455123	SPNHU17_RS02365	Yes	454943	454974	455032	455041	455062	455072	455110	455114		
CDS	Not Complement	456616	456816	ilvN											
CDS	Not Complement	457158	457358	ilvC	Yes	457198	457206	457344	457353						
CDS	Not Complement	458287	458487	SPNHU17_RS02380	Yes	458297	458303	458387	458416	458430					
CDS	Not Complement	458761	458961	SPNHU17_RS02385	Yes	458872	458902	458956							
CDS	Not Complement	459167	459367	ilvA	Yes	459195	459288	459354							
CDS	Not Complement	461289	461489	SPNHU17_RS02395	Yes	461384	461475	461485							
CDS	Complement	462553	462753	SPNHU17_RS02400	Yes	462736									
CDS	Complement	464118	464318	SPNHU17_RS02405	Yes	464171	464213	464234	464261						
CDS	Not Complement	464056	464256	SPNHU17_RS02410											
CDS	Complement	467031	467231	SPNHU17_RS02415											
CDS	Not Complement	467593	467793	SPNHU17_RS02420	Yes	467683	467704	467789							
CDS	Complement	469846	470046	dinB	Yes	469874									
CDS	Not Complement	470039	470239	pflB	Yes	470058	470066	470106	470129	470134	470166	470223			
CDS	Complement	473883	474083	SPNHU17_RS02435	Yes	473995	474010	474035							
CDS	Complement	475677	475877	rlrA	Yes	475733	475860								
CDS	Not Complement	475992	476192	SPNHU17_RS02445	Yes	476129									
CDS	Not Complement	478876	479076	SPNHU17_RS02450	Yes	478934	478968	478986	478999	479073					
CDS	Not Complement	480857	481057	rrgC	Yes	481022	481047	481056							
CDS	Not Complement	482376	482576	srtC-1	Yes	482480	482484	482531							
CDS	Not Complement	483265	483465	srtC-2	Yes	483403	483416	483436							
CDS	Not Complement	484145	484345	srtC-3	Yes	484207	484326								
CDS	Complement	485755	485955	SPNHU17_RS02480	Yes	485852	485883	485906	485920	485950					
CDS	Complement	488412	488612	SPNHU17_RS02485	Yes	488453	488487	488607							
CDS	Not Complement	488380	488580	SPNHU17_RS02490											
CDS	Not Complement	489704	489904	SPNHU17_RS02495	Yes	489873	489879	489899							
CDS	Not Complement	491758	491958	SPNHU17_RS02500	Yes	491806	491851	491956							
CDS	Not Complement	492112	492312	lacG	Yes	492274									
CDS	Not Complement	493594	493794	SPNHU17_RS02510	Yes	493665	493688								
CDS	Complement	497038	497238	SPNHU17_RS02515	Yes	497141	497205								
CDS	Complement	498391	498591	trkA	Yes	498441	498483	498521	498546						
CDS	Not Complement	498380	498580	SPNHU17_RS02525											
CDS	Not Complement	499243	499443	SPNHU17_RS02530	Yes	499408	499416								
CDS	Not Complement	500704	500904	SPNHU17_RS02535											
CDS	Not Complement	502371	502571	SPNHU17_RS02540	Yes	502491	502517	502560							
CDS	Not Complement	503394	503594	SPNHU17_RS02545	Yes	503398	503408	503417	503452	503468	503582				
regulatory	Not Complement	503951	504151	riboswitch	Yes	504094	504106								
CDS	Not Complement	504350	504550	SPNHU17_RS02550	Yes	504385	504533								
CDS	Not Complement	504903	505103	SPNHU17_RS02555	Yes	504980	505086								
CDS	Not Complement	505580	505780	SPNHU17_RS02560	Yes	505776									
CDS	Not Complement	505974	506174	SPNHU17_RS02565	Yes	506047	506051	506163							
CDS	Not Complement	506551	506751	rpoE	Yes	506576	506591	506746							
CDS	Not Complement	507528	507728	SPNHU17_RS02575	Yes	507718									
CDS	Complement	511507	511707	SPNHU17_RS02580	Yes	511524	511606	511666							
CDS	Not Complement	511600	511800	SPNHU17_RS02585	Yes	511769	511799								
CDS	Not Complement	516603	516803	SPNHU17_RS02590	Yes	516695	516722	516734							
CDS	Not Complement	517935	518135	SPNHU17_RS02595	Yes	517994	518035	518119	518125						
CDS	Not Complement	518539	518739	glnR	Yes	518579	518650	518657	518724	518732					
CDS	Not Complement	518932	519132	glnA	Yes	518966	518990	518999	519127						
CDS	Complement	520687	520887	SPNHU17_RS02610	Yes	520691	520712	520774	520842						
CDS	Not Complement	520452	520652	SPNHU17_RS10875											
CDS	Not Complement	520745	520945	SPNHU17_RS02615											
CDS	Complement	521462	521662	SPNHU17_RS02620	Yes	521593									
CDS	Complement	522925	523125	SPNHU17_RS02625	Yes	523048									
CDS	Complement	525271	525471	SPNHU17_RS02630	Yes	525381									
CDS	Not Complement	525679	525879	SPNHU17_RS02635	Yes	525733	525826								
CDS	Not Complement	526352	526552	hrcA	Yes	526370									
CDS	Not Complement	527413	527613	grpE	Yes	527594									
CDS	Not Complement	528417	528617	dnaK	Yes	528584	528592	528611							
CDS	Not Complement	530242	530442	SPNHU17_RS02655	Yes	530248	530281	530287	530306	530329	530397	530435			
CDS	Not Complement	531000	531200	dnaJ	Yes	531017	531067								
CDS	Complement	532945	533145	SPNHU17_RS02665	Yes	533080	533115								
CDS	Complement	533365	533565	SPNHU17_RS02670	Yes	533430	533442	533486	533508	533552					
CDS	Not Complement	533233	533433	SPNHU17_RS02675											
CDS	Not Complement	533961	534161	SPNHU17_RS02680											
CDS	Complement	535707	535907	SPNHU17_RS02685											
CDS	Not Complement	536079	536279	SPNHU17_RS02690	Yes	536119	536186								
CDS	Not Complement	536422	536622	SPNHU17_RS02695	Yes	536450	536472	536519	536585						
CDS	Not Complement	537173	537373	SPNHU17_RS02700	Yes	537266	537270								
CDS	Complement	538869	539069	blpC	Yes	538924	538959								
CDS	Complement	540287	540487	SPNHU17_RS02710	Yes	540325									
CDS	Complement	542455	542655	blpA	Yes	542521	542570	542604							
CDS	Not Complement	542537	542737	blpI	Yes	542655	542721								
CDS	Not Complement	543201	543401	blpJ	Yes	543215	543248	543315	543380						
CDS	Not Complement	543539	543739	blpU											
CDS	Not Complement	543772	543972	SPNHU17_RS02740	Yes	543784									
CDS	Not Complement	544188	544388	SPNHU17_RS02745	Yes	544189	544231	544383							
CDS	Not Complement	544349	544549	SPNHU17_RS02750	Yes	544396	544537	544544							
CDS	Not Complement	544835	545035	SPNHU17_RS02755	Yes	544855	545012								
CDS	Not Complement	545270	545470	SPNHU17_RS02760											
CDS	Not Complement	546001	546201	SPNHU17_RS02765											
CDS	Not Complement	546385	546585	SPNHU17_RS02770	Yes	546417	546438	546529							
CDS	Not Complement	547157	547357	SPNHU17_RS02775	Yes	547207	547337	547353							
CDS	Not Complement	547948	548148	trmB	Yes	548089	548141								
CDS	Not Complement	548709	548909	SPNHU17_RS02785	Yes	548867	548882								
CDS	Not Complement	549049	549249	rimP											
CDS	Not Complement	549470	549670	nusA	Yes	549569	549629	549635	549667						
CDS	Not Complement	550628	550828	SPNHU17_RS02800	Yes	550786	550826								
CDS	Not Complement	550914	551114	SPNHU17_RS02805	Yes	551007	551053	551097							
CDS	Not Complement	551230	551430	infB	Yes	551300	551347	551355	551392						
CDS	Not Complement	554063	554263	rbfA	Yes	554096	554200								
CDS	Not Complement	554683	554883	SPNHU17_RS02820	Yes	554688	554728	554821	554840	554868					
CDS	Not Complement	555464	555664	SPNHU17_RS02825	Yes	555488	555545	555558	555569	555624	555634	555645			
CDS	Not Complement	556096	556296	SPNHU17_RS02830											
CDS	Not Complement	556329	556529	SPNHU17_RS02835	Yes	556365									
CDS	Not Complement	557673	557873	SPNHU17_RS02840	Yes	557708	557774	557870							
CDS	Not Complement	558023	558223	SPNHU17_RS02845	Yes	558062	558120	558135	558212						
CDS	Not Complement	558830	559030	SPNHU17_RS02850											
CDS	Not Complement	559266	559466	SPNHU17_RS02855	Yes	559336									
CDS	Not Complement	559826	560026	SPNHU17_RS02860	Yes	559916									
CDS	Not Complement	560397	560597	SPNHU17_RS02865	Yes	560437	560443	560461	560586						
CDS	Not Complement	563129	563329	SPNHU17_RS02870	Yes	563168	563245	563313							
CDS	Not Complement	563344	563544	SPNHU17_RS10880	Yes	563425									
CDS	Not Complement	564276	564476	SPNHU17_RS10885	Yes	564380	564392	564402	564420						
CDS	Not Complement	565327	565527	SPNHU17_RS02880	Yes	565382	565505	565516							
CDS	Not Complement	566627	566827	SPNHU17_RS10890	Yes	566641									
CDS	Not Complement	567988	568188	SPNHU17_RS10895	Yes	568119	568160								
CDS	Not Complement	568554	568754	SPNHU17_RS10900	Yes	568638	568649	568655	568687	568704					
CDS	Not Complement	569486	569686	SPNHU17_RS02890	Yes	569507	569522	569576	569681						
CDS	Not Complement	570343	570543	SPNHU17_RS02895	Yes	570387									
CDS	Not Complement	572194	572394	SPNHU17_RS02900	Yes	572238	572264	572274	572390						
CDS	Not Complement	574200	574400	pheS	Yes	574255	574289	574314	574398						
CDS	Not Complement	575246	575446	SPNHU17_RS02910	Yes	575251	575267	575306							
CDS	Not Complement	575832	576032	pheT	Yes	575881	575942	575946	575977	575987	575992				
CDS	Complement	579506	579706	SPNHU17_RS02920	Yes	579644	579663								
CDS	Not Complement	579463	579663	SPNHU17_RS02925											
CDS	Not Complement	580036	580236	SPNHU17_RS02930	Yes	580051	580090	580096	580109	580197					
CDS	Not Complement	580562	580762	metE	Yes	580656									
CDS	Not Complement	582875	583075	metF	Yes	582903	582933	582952	582961	583005	583051	583062			
CDS	Not Complement	584426	584626	pnp	Yes	584432	584486								
CDS	Not Complement	586655	586855	cysE	Yes	586678	586704	586744	586753	586806	586810	586819	586843	586851	
CDS	Not Complement	587284	587484	SPNHU17_RS02955	Yes	587404									
CDS	Not Complement	588251	588451	cysS	Yes	588297	588344	588385	588410						
CDS	Not Complement	589587	589787	SPNHU17_RS02965	Yes	589612									
CDS	Not Complement	589977	590177	SPNHU17_RS02970	Yes	589988	590000								
CDS	Not Complement	590998	591198	SPNHU17_RS02975	Yes	591140									
CDS	Not Complement	591740	591940	SPNHU17_RS02980	Yes	591921	591926								
CDS	Not Complement	592266	592466	SPNHU17_RS02985	Yes	592267									
CDS	Not Complement	593556	593756	vex2	Yes	593709	593719	593723	593753						
CDS	Not Complement	594255	594455	vex3	Yes	594289	594373	594383	594446						
CDS	Not Complement	595814	596014	pep27	Yes	595842	595933	595945							
CDS	Not Complement	595946	596146	vncR	Yes	596021	596093	596119							
CDS	Not Complement	596599	596799	vncS	Yes	596608	596628	596679	596739	596798					
CDS	Not Complement	598068	598268	SPNHU17_RS03010	Yes	598136	598164	598175	598185						
CDS	Complement	600660	600860	SPNHU17_RS03015	Yes	600665	600726	600818							
CDS	Complement	601577	601777	SPNHU17_RS03020											
CDS	Complement	602264	602464	SPNHU17_RS03025	Yes	602433									
CDS	Complement	603071	603271	SPNHU17_RS03030											
CDS	Complement	603840	604040	SPNHU17_RS03035	Yes	603846	603916	603934							
CDS	Not Complement	603917	604117	recJ	Yes	604059	604102								
CDS	Not Complement	606314	606514	SPNHU17_RS03045	Yes	606331	606350	606361	606378	606397	606428	606442	606512		
CDS	Not Complement	608044	608244	SPNHU17_RS03050	Yes	608172	608184	608198	608227	608240					
CDS	Not Complement	608954	609154	SPNHU17_RS03055	Yes	608958	609110	609142	609150						
CDS	Not Complement	610179	610379	murN	Yes	610216	610252	610358	610370						
CDS	Not Complement	611490	611690	SPNHU17_RS03065	Yes	611618	611678								
CDS	Not Complement	612231	612431	uvrC	Yes	612369									
CDS	Not Complement	614068	614268	SPNHU17_RS03075	Yes	614237	614262								
CDS	Complement	616083	616283	SPNHU17_RS03080	Yes	616127	616172	616187	616241	616247	616259				
CDS	Not Complement	616054	616254	SPNHU17_RS03085											
CDS	Not Complement	616672	616872	pepV	Yes	616752	616842	616851	616869						
CDS	Not Complement	618126	618326	SPNHU17_RS03095	Yes	618321									
CDS	Not Complement	618864	619064	SPNHU17_RS10910	Yes	618880	618913	619059							
CDS	Not Complement	619323	619523	brnQ	Yes	619427	619434								
CDS	Not Complement	620746	620946	SPNHU17_RS03115	Yes	620825	620840	620934							
CDS	Not Complement	621785	621985	SPNHU17_RS03120											
CDS	Not Complement	622261	622461	SPNHU17_RS03125	Yes	622357	622383	622458							
CDS	Not Complement	623100	623300	rplK	Yes	623112	623226								
CDS	Not Complement	623733	623933	rplA	Yes	623743	623840	623855	623900	623932					
CDS	Not Complement	624695	624895	SPNHU17_RS03140	Yes	624828	624858								
CDS	Not Complement	625168	625368	SPNHU17_RS03145	Yes	625178									
CDS	Not Complement	626575	626775	SPNHU17_RS03150	Yes	626601	626708								
CDS	Not Complement	627569	627769	SPNHU17_RS03155	Yes	627619	627696	627757							
CDS	Not Complement	628389	628589	SPNHU17_RS03160	Yes	628463	628551								
CDS	Not Complement	629213	629413	SPNHU17_RS03165	Yes	629261	629360	629402	629406						
CDS	Not Complement	629476	629676	SPNHU17_RS03170	Yes	629509	629662								
CDS	Not Complement	630406	630606	SPNHU17_RS03175											
CDS	Complement	637867	638067	SPNHU17_RS03180	Yes	637879	637919	637970	637989						
CDS	Not Complement	638278	638478	SPNHU17_RS03185											
CDS	Not Complement	639367	639567	SPNHU17_RS03190	Yes	639404	639497	639552	639561						
CDS	Not Complement	639969	640169	SPNHU17_RS03195											
CDS	Not Complement	640094	640294	SPNHU17_RS03200	Yes	640180	640221	640288							
CDS	Not Complement	640447	640647	SPNHU17_RS03205											
CDS	Not Complement	642272	642472	bgaA	Yes	642310	642394								
CDS	Complement	649651	649851	SPNHU17_RS10915	Yes	649717	649753								
CDS	Complement	650277	650477	SPNHU17_RS10920	Yes	650454	650471								
CDS	Complement	650847	651047	SPNHU17_RS03220	Yes	650876	650883	650902	650944	650953	650985	650999			
CDS	Not Complement	650739	650939	SPNHU17_RS03225											
CDS	Not Complement	651679	651879	SPNHU17_RS03230	Yes	651707	651878								
CDS	Not Complement	652229	652429	SPNHU17_RS03235	Yes	652410									
CDS	Not Complement	652495	652695	SPNHU17_RS03240	Yes	652560	652579	652598							
CDS	Not Complement	654728	654928	SPNHU17_RS03245	Yes	654745	654765								
CDS	Not Complement	655799	655999	ccdA2	Yes	655950									
CDS	Not Complement	656529	656729	SPNHU17_RS03255	Yes	656586	656597	656678	656717						
CDS	Not Complement	657106	657306	msrB	Yes	657173	657257								
CDS	Complement	658602	658802	SPNHU17_RS10925											
CDS	Not Complement	659034	659234	SPNHU17_RS03270	Yes	659116									
CDS	Not Complement	659768	659968	SPNHU17_RS03275	Yes	659773									
CDS	Not Complement	661575	661775	SPNHU17_RS03280	Yes	661623	661630	661651	661735						
CDS	Not Complement	662160	662360	SPNHU17_RS03285	Yes	662331	662359								
CDS	Not Complement	667937	668137	pabB	Yes	667963	668000	668026	668046						
CDS	Not Complement	669659	669859	SPNHU17_RS03295	Yes	669669	669680	669745	669765						
CDS	Not Complement	670326	670526	SPNHU17_RS03300	Yes	670350	670444	670473	670498	670522					
CDS	Not Complement	671451	671651	SPNHU17_RS03305	Yes	671543	671638								
CDS	Not Complement	672508	672708	SPNHU17_RS03310	Yes	672512	672567	672627							
CDS	Complement	673765	673965	SPNHU17_RS03315	Yes	673859	673881	673891	673932						
CDS	Not Complement	673686	673886	miaA											
CDS	Not Complement	674563	674763	hflX											
CDS	Not Complement	675794	675994	SPNHU17_RS03330	Yes	675798	675834	675968							
CDS	Not Complement	676432	676632	rnz	Yes	676462	676489	676508	676588	676624					
CDS	Not Complement	677382	677582	SPNHU17_RS03340	Yes	677520	677556	677573							
CDS	Complement	679299	679499	SPNHU17_RS03345	Yes	679348	679380	679416	679475						
CDS	Not Complement	679163	679363	SPNHU17_RS03350											
CDS	Not Complement	679432	679632	SPNHU17_RS03355	Yes	679614	679624								
CDS	Not Complement	679901	680101	SPNHU17_RS03360	Yes	679937	679991	679997							
CDS	Complement	681093	681293	SPNHU17_RS03365	Yes	681130	681145	681150	681162	681200	681226	681252			
CDS	Not Complement	681055	681255	typA											
CDS	Not Complement	682916	683116	SPNHU17_RS03375	Yes	683066	683081	683106	683114						
CDS	Not Complement	683534	683734	SPNHU17_RS03380	Yes	683541	683652	683722	683726						
CDS	Not Complement	683904	684104	SPNHU17_RS03385	Yes	683966	684069								
CDS	Not Complement	685925	686125	SPNHU17_RS03390	Yes	685932	686084	686114	686119						
CDS	Not Complement	686670	686870	murD	Yes	686791	686856								
CDS	Not Complement	688024	688224	SPNHU17_RS03400											
CDS	Not Complement	689092	689292	divIB	Yes	689139	689219	689237	689267	689287					
CDS	Not Complement	690524	690724	pyrF	Yes	690554	690571	690616	690720						
CDS	Not Complement	691259	691459	pyrE	Yes	691441									
CDS	Not Complement	692124	692324	SPNHU17_RS03420	Yes	692206	692276	692284							
CDS	Not Complement	692570	692770	SPNHU17_RS03425	Yes	692625	692727								
CDS	Not Complement	693334	693534	SPNHU17_RS03430	Yes	693429									
CDS	Not Complement	694096	694296	SPNHU17_RS03435	Yes	694270									
CDS	Not Complement	694791	694991	SPNHU17_RS03440	Yes	694852									
CDS	Complement	696591	696791	SPNHU17_RS03445											
CDS	Complement	697412	697612	SPNHU17_RS03450	Yes	697456	697476								
CDS	Complement	698090	698290	SPNHU17_RS10930	Yes	698251	698275								
CDS	Complement	698718	698918	SPNHU17_RS03465	Yes	698753	698850	698872	698882						
CDS	Not Complement	698745	698945	SPNHU17_RS03470											
CDS	Not Complement	699019	699219	lysS											
CDS	Not Complement	701135	701335	lctO	Yes	701206	701230	701263	701273						
regulatory	Not Complement	702523	702723	riboswitch	Yes	702541	702553	702558							
CDS	Not Complement	702826	703026	SPNHU17_RS03485											
CDS	Not Complement	703782	703982	thiM	Yes	703909	703925	703933	703943	703966					
CDS	Not Complement	704566	704766	thiE	Yes	704591	704608	704618	704651	704660					
regulatory	Not Complement	705404	705604	riboswitch	Yes	705509									
CDS	Not Complement	705754	705954	SPNHU17_RS03500	Yes	705773	705802	705849							
CDS	Not Complement	706315	706515	SPNHU17_RS03505	Yes	706507									
CDS	Not Complement	707702	707902	SPNHU17_RS03510	Yes	707837									
CDS	Not Complement	708363	708563	tenA											
CDS	Not Complement	709060	709260	thiW	Yes	709118	709241	709258							
CDS	Not Complement	709584	709784	SPNHU17_RS03525	Yes	709773									
CDS	Not Complement	710380	710580	thiE	Yes	710412	710470	710549							
CDS	Complement	712212	712412	thiD	Yes	712273									
regulatory	Complement	712394	712594	riboswitch	Yes	712492									
CDS	Not Complement	712378	712578	SPNHU17_RS03540											
CDS	Not Complement	712784	712984	SPNHU17_RS03545	Yes	712934									
CDS	Not Complement	713165	713365	SPNHU17_RS03550	Yes	713278									
CDS	Not Complement	715615	715815	spxB	Yes	715644	715707								
CDS	Not Complement	717501	717701	SPNHU17_RS03560	Yes	717513	717605	717618							
CDS	Complement	719281	719481	SPNHU17_RS03565	Yes	719355	719374	719379	719415	719456					
CDS	Not Complement	719406	719606	SPNHU17_RS03575	Yes	719492	719504	719516							
CDS	Not Complement	721221	721421	SPNHU17_RS03580											
CDS	Not Complement	721908	722108	SPNHU17_RS03585	Yes	721946	722016	722078							
CDS	Not Complement	722851	723051	SPNHU17_RS03590											
CDS	Not Complement	723794	723994	SPNHU17_RS03595	Yes	723938	723974								
CDS	Not Complement	725302	725502	SPNHU17_RS03600	Yes	725371									
CDS	Not Complement	726939	727139	SPNHU17_RS03605	Yes	727076									
CDS	Not Complement	728421	728621	SPNHU17_RS03610	Yes	728432									
CDS	Not Complement	729381	729581	SPNHU17_RS03615	Yes	729396	729560								
CDS	Complement	730540	730740	SPNHU17_RS03620	Yes	730590									
CDS	Not Complement	730381	730581	SPNHU17_RS03625											
CDS	Not Complement	730818	731018	manA	Yes	730819	730998								
CDS	Complement	732946	733146	SPNHU17_RS03635											
CDS	Complement	733228	733428	SPNHU17_RS10935											
CDS	Complement	734511	734711	SPNHU17_RS03645	Yes	734618									
CDS	Complement	735415	735615	SPNHU17_RS03650	Yes	735420	735485	735495	735530	735534	735564	735576	735586		
CDS	Not Complement	735340	735540	SPNHU17_RS03655											
CDS	Not Complement	735916	736116	SPNHU17_RS03660	Yes	735945	735959	736059	736102	736111					
CDS	Not Complement	736472	736672	upp	Yes	736512	736611	736656							
CDS	Not Complement	737275	737475	clpP	Yes	737309	737327	737346	737378	737471					
CDS	Not Complement	737944	738144	SPNHU17_RS03675	Yes	737964	738012	738039	738132						
CDS	Not Complement	738294	738494	SPNHU17_RS03680	Yes	738318	738363	738396	738411	738425	738478				
CDS	Not Complement	739722	739922	SPNHU17_RS03685	Yes	739724	739887	739910							
CDS	Not Complement	740595	740795	SPNHU17_RS03690	Yes	740669	740779								
CDS	Not Complement	741551	741751	SPNHU17_RS03695											
CDS	Not Complement	742315	742515	SPNHU17_RS03700	Yes	742465									
CDS	Not Complement	743332	743532	SPNHU17_RS03705	Yes	743346	743368	743381	743458	743464	743519				
CDS	Not Complement	744096	744296	prfB	Yes	744122	744126	744159	744222	744237	744247	744251	744274		
CDS	Not Complement	745209	745409	ftsE	Yes	745229	745399								
